,year,month,day,temp,humid,wind_speed,precip,pressure,visib,dep_delay
0,2013,1,1,37.22782608695652,53.88347826086956,15.410445217391304,0.0,1012.6227272727273,9.956521739130435,3.2033898305084745
1,2013,1,2,28.790000000000003,50.195,13.617563333333331,0.0,1018.0625,10.0,5.633333333333334
2,2013,1,3,30.2675,52.682500000000005,11.076257499999999,0.0,1020.3208333333333,10.0,10.825396825396826
3,2013,1,4,35.8325,49.89333333333334,15.3916825,0.0,1016.4416666666666,10.0,2.929411764705882
4,2013,1,5,38.277499999999996,46.42041666666666,9.877528333333332,0.0,1022.4583333333334,10.0,2.45
5,2013,1,6,40.95304347826087,56.080869565217384,9.75661304347826,0.0,1017.9200000000001,9.130434782608695,1.6607142857142858
6,2013,1,7,41.3525,50.696666666666665,9.0623925,0.0,1025.2749999999999,10.0,1.7624113475177305
7,2013,1,8,42.32,55.468333333333334,8.343155,0.0,1028.5874999999999,10.0,-0.23636363636363636
8,2013,1,9,44.9375,62.036249999999995,8.870595833333333,0.0,1025.0375000000001,9.0,-2.2445255474452557
9,2013,1,10,44.345,45.5575,11.795495,0.0,1030.9166666666667,10.0,0.2
10,2013,1,11,40.3325,73.04375,7.575968333333333,0.015833333333333335,1029.5055555555557,8.395833333333334,-1.586080586080586
11,2013,1,12,43.895,93.88375,6.425188333333334,0.0020833333333333333,1020.5133333333334,2.7604166666666665,-1.9085714285714286
12,2013,1,13,45.762499999999996,93.71,6.137493333333333,0.0,1018.8100000000001,2.7704166666666663,4.306034482758621
13,2013,1,14,49.6325,76.93458333333334,8.822646666666666,0.0025,1020.0631578947368,6.520833333333333,-1.5
14,2013,1,15,37.699999999999996,63.95291666666666,8.007510833333333,0.004166666666666667,1025.3739130434783,9.916666666666666,-2.4080882352941178
15,2013,1,16,35.5625,86.92625,7.863663333333332,0.028333333333333335,1014.2071428571428,7.0,19.61509433962264
16,2013,1,17,40.4375,56.79666666666666,10.644715,0.0,1016.4625,10.0,1.5815602836879432
17,2013,1,18,29.555000000000003,43.04958333333334,11.507800000000001,0.0,1027.2652173913043,9.958333333333334,2.382142857142857
18,2013,1,19,41.6675,44.35916666666666,14.001156666666667,0.0,1021.6333333333333,10.0,-1.0174418604651163
19,2013,1,20,44.165,40.739583333333336,17.069903333333333,0.0,1010.0041666666666,10.0,2.0
20,2013,1,21,30.11,44.18083333333333,9.110341666666667,0.0,1015.3083333333334,10.0,5.731617647058823
21,2013,1,22,21.29,44.27708333333334,19.850955,0.0,1016.9666666666667,9.958333333333334,16.175824175824175
22,2013,1,23,16.175,42.83083333333334,14.049105833333334,0.0,1022.8666666666667,10.0,4.349264705882353
23,2013,1,24,18.995,45.459583333333335,15.631428333333332,0.0,1024.4083333333333,10.0,12.60948905109489
24,2013,1,25,19.265,56.89625,9.014443333333332,0.0016666666666666668,1027.2055555555555,8.520833333333334,15.228464419475655
25,2013,1,26,22.287499999999998,56.08958333333334,14.624495833333333,0.0,1021.6374999999999,10.0,0.11428571428571428
26,2013,1,27,27.9875,46.79291666666666,10.980359166666666,0.0,1031.5666666666666,10.0,2.951541850220264
27,2013,1,28,33.485,70.18291666666666,8.05546,0.009166666666666667,1024.7176470588236,6.458333333333333,6.907063197026022
28,2013,1,29,39.8525,85.24041666666666,8.295205833333332,0.00375,1018.7375,5.604166666666667,-0.9548872180451128
29,2013,1,30,47.21,91.82583333333334,10.548816666666665,0.00125,1007.4214285714286,4.9375,28.293388429752067
30,2013,1,31,45.32750000000001,53.40416666666667,25.604855,0.03666666666666667,998.6999999999999,9.208333333333334,30.028
31,2013,2,1,29.1575,44.56666666666666,17.549395,0.0,1014.2041666666668,10.0,4.203571428571428
32,2013,2,2,25.4225,47.77916666666667,10.5008675,0.0004166666666666667,1022.4130434782609,9.020833333333334,-0.05056179775280899
33,2013,2,3,27.77,69.39416666666666,6.904679999999999,0.00125,1010.8,7.708333333333333,5.346846846846847
34,2013,2,4,28.3175,44.17958333333333,15.9670725,0.0,1013.35,10.0,5.879432624113475
35,2013,2,5,29.78,80.03541666666666,8.103409166666667,0.0008333333333333334,1013.7285714285715,7.0,4.762773722627737
36,2013,2,6,34.0175,58.31333333333333,11.555749166666667,0.0,1020.89,8.291666666666666,7.235714285714286
37,2013,2,7,29.599999999999998,41.89791666666667,8.726748333333333,0.0,1030.5652173913043,10.0,4.757042253521127
38,2013,2,8,33.1475,83.21,19.515310833333334,0.0275,1018.3833333333333,4.40625,28.074324324324323
39,2013,2,9,29.0975,59.28666666666667,18.748124166666667,0.009583333333333334,1017.9,8.354166666666666,8.147540983606557
40,2013,2,10,27.9575,49.939166666666665,6.664934166666666,0.0,1029.3291666666667,10.0,16.857142857142858
41,2013,2,11,40.565,88.93333333333334,4.4592725,0.021666666666666667,1015.4928571428571,4.416666666666667,28.946969696969695
42,2013,2,12,41.9375,49.937916666666666,14.96014,0.0,1011.1130434782608,10.0,0.8424908424908425
43,2013,2,13,38.2925,58.468333333333334,5.705950833333333,0.0004166666666666667,1010.1409090909091,9.791666666666666,2.822463768115942
44,2013,2,14,39.3875,65.00833333333334,8.151358333333333,0.0004166666666666667,1013.2272727272727,9.791666666666666,0.6724738675958188
45,2013,2,15,43.79750000000001,62.3525,8.247256666666667,0.0,1014.6999999999999,9.416666666666666,3.2961672473867596
46,2013,2,16,35.39,63.705000000000005,12.466783333333332,0.0008333333333333334,1011.75,9.875,3.2295081967213113
47,2013,2,17,27.117500000000003,40.67125,24.8856175,0.0,1007.7208333333333,10.0,2.730769230769231
